192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001179
192.168.1.128, 2017-05-19 21:56:19, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001400
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/default/design/welcome, HTTP/1.1, 303, 0.330179
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/default/index, HTTP/1.1, 200, 0.205859
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.005771
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001228
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001249
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001184
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001272
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001240
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001260
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.001192
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.001551
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001240
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001275
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.001250
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001236
192.168.1.128, 2017-05-19 21:56:32, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.001557
192.168.1.128, 2017-05-19 21:56:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000891
192.168.1.128, 2017-05-19 21:56:47, POST, /admin/default/index, HTTP/1.1, 303, 0.136008
192.168.1.128, 2017-05-19 21:56:48, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.623068
192.168.1.128, 2017-05-19 21:56:48, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.006024
192.168.1.128, 2017-05-19 21:56:48, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001160
192.168.1.128, 2017-05-19 21:56:48, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001179
192.168.1.128, 2017-05-19 21:56:48, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001106
192.168.1.128, 2017-05-19 21:56:48, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001175
192.168.1.128, 2017-05-19 21:56:48, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001305
192.168.1.128, 2017-05-19 21:56:48, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.001495
192.168.1.128, 2017-05-19 21:56:48, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.001204
192.168.1.128, 2017-05-19 21:56:48, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.001188
192.168.1.128, 2017-05-19 21:56:48, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.001183
192.168.1.128, 2017-05-19 21:56:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000808
192.168.1.128, 2017-05-19 21:56:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000816
192.168.1.128, 2017-05-19 22:00:29, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001229
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.216922
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001450
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001254
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001119
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001251
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001178
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001113
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001604
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001235
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001209
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001199
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001293
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001163
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001270
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001259
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001460
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001326
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001224
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001323
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001231
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001220
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001323
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001436
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001216
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001204
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001292
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001184
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001309
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001235
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.006768
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001234
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001200
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001213
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001184
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001201
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.001274
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001231
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001297
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001192
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001248
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001258
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.001218
192.168.1.128, 2017-05-19 22:00:47, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.001206
192.168.1.128, 2017-05-19 22:00:48, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.156352
192.168.1.128, 2017-05-19 22:00:48, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.124692
192.168.1.128, 2017-05-19 22:00:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000855
192.168.1.128, 2017-05-19 22:00:48, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.122066
192.168.1.128, 2017-05-19 22:00:48, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.159691
192.168.1.128, 2017-05-19 22:00:48, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.009188
192.168.1.128, 2017-05-19 22:00:48, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.335237
192.168.1.128, 2017-05-19 22:00:48, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.339097
192.168.1.128, 2017-05-19 22:01:48, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.449110
192.168.1.128, 2017-05-19 22:01:56, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 7.709647
192.168.1.128, 2017-05-19 22:02:24, POST, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.115177
192.168.1.128, 2017-05-19 22:02:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.423138
192.168.1.128, 2017-05-19 22:02:57, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 8.300186
192.168.1.128, 2017-05-19 22:03:48, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.190981
192.168.1.128, 2017-05-19 22:03:49, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.835135
